REALCURRENTTIME;CORE_TEMP;CORE_IODINE_CUMULATIVE;CORE_XENON_CUMULATIVE;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
344000;297.6415;5.360439;0;75;75
345001;297.9688;5.360439;0;75;75
346000;298.2961;5.360439;0;75;75
347001;298.2961;5.525808;0;75;75
348000;298.7737;5.525808;0;75;75
349001;299.0115;5.525808;0;75;75
350000;299.3293;5.525808;0;75;75
351001;299.6472;5.525808;0;75;75
352000;299.9651;5.525808;0;75;75
353000;300.2731;5.525808;0;75;75
354000;300.5911;5.525808;0;75;75
355001;300.8991;5.525808;0;75;75
356000;301.2072;5.525808;0;75;75
357001;301.2155;5.691001;0;75;75
358000;301.6639;5.691001;0;75;75
359000;301.8925;5.691001;0;75;75
360001;302.1912;5.691001;0;75;75
361001;302.4999;5.691001;0;75;75
362000;302.7987;5.691001;0;75;75
363001;303.0974;5.691001;0;75;75
364000;303.3962;5.691001;0;75;75
365001;303.685;5.691001;0;75;75
366000;303.6838;5.691001;0;75;75
367001;304.1228;5.856021;0;75;75
368000;304.3419;5.856021;0;75;75
369000;304.6311;5.856021;0;75;75
370000;304.9202;5.856021;0;75;75
371001;305.2094;5.856021;0;75;75
372001;305.4885;5.856021;0;75;75
373000;305.7776;5.856021;0;75;75
374000;306.0566;5.856021;0;75;75
375000;306.3357;5.856021;0;75;75
376001;306.3148;5.856021;0;75;75
377000;306.744;6.020866;0;75;75
378000;306.9532;6.020866;0;75;75
379002;307.2325;6.020866;0;75;75
380000;307.5016;6.020866;0;75;75
381000;307.7708;6.020866;0;75;75
382000;308.0497;6.020866;0;75;75
383000;308.3186;6.020866;0;75;75
384000;308.5774;6.020866;0;75;75
385000;308.8462;6.020866;0;75;75
386000;308.8149;6.020866;0;75;75
387000;309.2237;6.185537;0;75;75
388001;309.4325;6.185537;0;75;75
389001;309.6912;6.185537;0;75;75
390001;309.9498;6.185537;0;75;75
391000;310.2084;6.185537;0;75;75
392001;310.4668;6.185537;0;75;75
393000;310.7251;6.185537;0;75;75
394001;310.9734;6.185537;0;75;75
395001;311.2315;6.185537;0;75;75
396001;311.1797;6.185537;0;75;75
397000;311.5778;6.350034;0;75;75
398001;311.7759;6.350034;0;75;75
399001;312.024;6.350034;0;75;75
400000;312.2721;6.350034;0;75;75
401001;312.51;6.350034;0;75;75
402001;312.7579;6.350034;0;75;75
403000;312.9956;6.350034;0;75;75
404000;313.2333;6.350034;0;75;75
405001;313.471;6.350034;0;75;75
406001;313.4086;6.350034;0;75;75
407000;313.7964;6.514358;0;75;75
408000;313.9941;6.514358;0;75;75
409001;314.1242;6.514358;0;75;75
410000;314.2921;6.514358;0;75;75
411000;314.4542;6.514358;0;75;75
412000;314.4421;6.514358;0;75;75
413000;314.4301;6.514358;0;75;75
414000;314.748;6.514358;0;75;75
415001;314.748;6.514358;0;75;75
416002;315.0559;6.514358;0;75;75
417000;315.0559;6.514358;0;75;75
418001;315.0559;6.678507;0;75;75
419002;315.3641;6.678507;0;75;75
420000;315.3524;6.678507;0;75;75
421000;315.6606;6.678507;0;75;75
422000;315.6606;6.678507;0;75;75
423001;315.9589;6.678507;0;75;75
424000;315.9473;6.678507;0;75;75
425001;316.2555;6.678507;0;75;75
426000;316.244;6.678507;0;75;75
427000;316.2424;6.678507;0;75;75
428001;316.5511;6.842484;0;75;75
429001;316.5511;6.842484;0;75;75
430001;316.8398;6.842484;0;75;75
431001;316.8398;6.842484;0;75;75
432000;317.1286;6.842484;0;75;75
433000;317.1175;6.842484;0;75;75
434000;317.4064;6.842484;0;75;75
435001;317.4064;6.842484;0;75;75
436001;317.6953;6.842484;0;75;75
437001;317.3845;6.842484;0;75;75
438001;317.8236;7.006288;0;75;75
439001;318.0428;7.006288;0;75;75
440001;318.0322;7.006288;0;75;75
441000;318.3015;7.006288;0;75;75
442001;318.3015;7.006288;0;75;75
443001;318.5708;7.006288;0;75;75
444000;318.5603;7.006288;0;75;75
445000;318.8396;7.006288;0;75;75
446000;318.8292;7.006288;0;75;75
447001;318.8086;7.006288;0;75;75
448000;319.0982;7.169919;0;75;75
449001;319.0982;7.169919;0;75;75
450001;319.3678;7.169919;0;75;75
451001;319.3575;7.169919;0;75;75
452001;319.6371;7.169919;0;75;75
453000;319.6371;7.169919;0;75;75
454001;319.8967;7.169919;0;75;75
455000;319.8967;7.169919;0;75;75
456001;320.1562;7.169919;0;75;75
457000;320.1562;7.169919;0;75;75
458001;320.1562;7.333376;0;75;75
459001;320.4159;7.333376;0;75;75
460000;320.4159;7.333376;0;75;75
461001;320.6755;7.333376;0;75;75
462001;320.6652;7.333376;0;75;75
463000;320.9347;7.333376;0;75;75
464001;320.9242;7.333376;0;75;75
465000;321.1836;7.333376;0;75;75
466000;321.1836;7.333376;0;75;75
467000;321.4427;7.333376;0;75;75
468001;321.4427;7.496661;0;75;75
469001;321.6918;7.496661;0;75;75
470000;321.6809;7.496661;0;75;75
471001;321.9399;7.496661;0;75;75
472001;321.9399;7.496661;0;75;75
473000;322.1888;7.496661;0;75;75
474001;322.1778;7.496661;0;75;75
475001;322.4265;7.496661;0;75;75
476000;322.4265;7.496661;0;75;75
477001;322.6652;7.496661;0;75;75
478000;322.354;7.659774;0;75;75
479000;322.7527;7.659774;0;75;75
480001;322.7527;7.659774;0;75;75
481000;322.7527;7.659774;0;75;75
482000;322.9516;7.659774;0;75;75
