REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
164101;205.0248;75;75
164400;205.0248;75;75
164700;205.8498;75;75
165000;205.8498;75;75
165300;205.8498;75;75
165600;206.6648;75;75
165900;206.6648;75;75
166200;206.6648;75;75
166500;206.6648;75;75
166800;207.4799;75;75
167100;207.4799;75;75
167400;207.4799;75;75
167700;208.2949;75;75
168000;208.2949;75;75
168300;208.2949;75;75
168600;209.1;75;75
168900;209.1;75;75
169200;209.1;75;75
169499;209.1;75;75
169800;209.8952;75;75
170100;209.8952;75;75
170400;209.8952;75;75
170700;210.7003;75;75
171000;210.7003;75;75
171300;210.7003;75;75
171600;211.5003;75;75
171900;211.4955;75;75
172200;211.4955;75;75
172500;211.4955;75;75
172800;212.2807;75;75
173100;212.2807;75;75
173401;212.2807;75;75
173701;213.0659;75;75
174000;213.0659;75;75
174300;213.0659;75;75
174600;213.0659;75;75
174901;213.8411;75;75
175200;213.8411;75;75
175500;213.8411;75;75
175800;214.6164;75;75
176100;214.6164;75;75
176400;214.6164;75;75
176700;215.3917;75;75
177000;215.3917;75;75
177300;215.3917;75;75
177600;215.3917;75;75
177900;216.157;75;75
178200;216.157;75;75
178500;216.157;75;75
178800;216.9224;75;75
179100;216.9224;75;75
179400;216.9224;75;75
179700;217.6878;75;75
180000;217.6878;75;75
180300;217.6878;75;75
180599;217.6878;75;75
180900;218.4431;75;75
181200;218.4431;75;75
181500;218.4431;75;75
181801;219.1986;75;75
182100;219.1986;75;75
182400;219.1986;75;75
182700;219.944;75;75
183000;219.944;75;75
183300;219.944;75;75
183600;219.944;75;75
183901;220.6895;75;75
184200;220.6895;75;75
184500;220.6895;75;75
184800;221.425;75;75
185100;221.425;75;75
185400;221.425;75;75
185699;222.1605;75;75
186000;222.1605;75;75
186300;222.1605;75;75
186600;222.1605;75;75
186900;222.896;75;75
187200;222.896;75;75
187500;222.896;75;75
187800;223.6316;75;75
188100;223.6316;75;75
188400;223.6316;75;75
188700;224.3572;75;75
189000;224.3572;75;75
189300;224.3572;75;75
189599;224.3572;75;75
189900;225.0728;75;75
190200;225.0728;75;75
190500;225.0728;75;75
190800;225.7984;75;75
191100;225.7984;75;75
191400;225.7984;75;75
191699;226.5141;75;75
192000;226.5141;75;75
192300;226.5141;75;75
192600;226.5141;75;75
192900;227.2197;75;75
193200;227.2197;75;75
193500;227.2197;75;75
193800;227.9254;75;75
194100;227.9254;75;75
194400;227.9254;75;75
194700;228.6312;75;75
195000;228.6312;75;75
195300;228.6312;75;75
195601;228.6312;75;75
195900;229.3269;75;75
196200;229.3269;75;75
196500;229.3269;75;75
196800;230.0227;75;75
197100;230.0227;75;75
197400;230.0227;75;75
197700;230.7185;75;75
198000;230.7185;75;75
198300;230.7185;75;75
198600;230.7185;75;75
198900;231.4043;75;75
199200;231.4043;75;75
199500;231.4043;75;75
199800;232.0901;75;75
200100;232.0901;75;75
200400;232.0901;75;75
200700;232.776;75;75
201000;232.776;75;75
201300;232.776;75;75
201600;232.776;75;75
201900;233.4518;75;75
202200;233.4518;75;75
202500;233.4518;75;75
202800;234.1277;75;75
203100;234.1277;75;75
203400;234.1277;75;75
203700;234.7936;75;75
204000;234.7936;75;75
204300;234.7936;75;75
204600;234.7936;75;75
204900;235.4595;75;75
205200;235.4595;75;75
205500;235.4595;75;75
205800;236.1255;75;75
206100;236.1255;75;75
206400;236.1255;75;75
206700;236.7915;75;75
207000;236.7915;75;75
207300;236.7915;75;75
207600;236.7915;75;75
207900;237.4475;75;75
208200;237.4475;75;75
208500;237.4475;75;75
208800;238.1035;75;75
209099;238.1035;75;75
209400;238.1035;75;75
209701;238.7495;75;75
210000;238.7495;75;75
210300;238.7495;75;75
210600;238.7495;75;75
210900;239.3956;75;75
211200;239.3956;75;75
211499;239.3956;75;75
211800;240.0417;75;75
212100;240.0417;75;75
212400;240.0417;75;75
212700;240.6817;75;75
213000;240.6778;75;75
213300;240.6778;75;75
213600;240.6778;75;75
213900;241.3139;75;75
214200;241.3139;75;75
